#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
80739;Маркировка не каждый раз видна (Спецификация);ADP;Констр. объекты;old;4
80494;[int] Не отображается значение атрибута-ссылки в гриде ;ADP;Бизнес-объекты;old;8,8
80420;[int] Скрипт, который проверяет наличие инициализирующей записи в календаре и добавляет её;ADP;Базовые справочники;regressive;0,95
80303;При импорте работника выдает ошибку.;ADP;Базовые справочники;modification;2,5
80106;[int] MFC exception при открытии карточки свойств объекта системы;ADP;Объекты системы;new;1,7
80498;При взятие на изменение БО , с помощью чекбокса, программа не отображает что БО взят на изменение /снят с изменений;AVI;Констр. объекты;new;6
80368;"Некорректно работает фильтр поиска БО в задаче ""Сканированные файлы""";AVI;Констр. объекты;new;10,5
80313;[int] Убрать возможность добавлять строки содержимого через форму ;AVI;Бизнес-объекты;modification;2,5
80141;[int] PostgreSQL: не удается объединить предприятия;AVI;Базовые справочники;postgre;16,6
79883;[int] Ошибка при вызове команды Показать в списке из содержимого спецификации;AVI;Констр. объекты;not available;1
80422;Некорректное отображение остатка в цеховой номенклатуре;AVS;Учет в производстве;old;14,85
79050;Не работает опция настройки алгоритма работы МЛ;AVS;Учет в производстве;modification;1
79988;[int] Некорректное добавление элементов в план-задание от производственных программ;AVS_SAV_CHIG_SSB_REI_ASA;Планирование цеховое;not available;1,15
79355;[int] PostgreSQL: Ошибка PostgreSQL [42846] - при формировании состава КВ;AVS_SAV_CHIG_SSB_REI_ASA;Складской учет;not available;0,55
79802;Блокировки Lock: tuple, Lock: transactionid, LWLock: BufferMapping при выполнении вставок и апдейтов в таблице soc_stages, soc_sheets;BEA;FOP/FOS;postgre;25
80468;Потоки работ 1.0. Некорректное отображение команд для КР из совмещенной формы ;BIV;Потоки работ;new;3,1
80036;"Потоки работ 2.0. Некорректное поведение присоединенной формы ""Список работ над объектом (ПР 2.0)""";BIV;Потоки работ;new;17,1
79976;"Необходимо увеличить размер поля ""ADDPOS"" во времененной таблице ""TINCITEMDATA_STORAGE_TMP"" с 5 символов до 8 при раскрытии производственного состава Ед.Общ.Спец.";BIV;Констр. объекты;old;1
80735;Наряды.Исправить фильтрацию по цехам\участкам;CHIG;Учет в производстве;new;3,8
80730;При генерации МЛ от заказа для пустых не выполняются бо-дейтсвия по установлению процента выполнения;CHIG;Учет в производстве;new;2,5
80588;Падение системы при выборе нескольких экземпляров ПЗ;CHIG;Планирование заводское;new;3
80536;Наряды. Исправить некорректные данные;CHIG;Учет в производстве;new;9,5
80321;[int] Не загружаются МЛ без состава;CHIG;Учет в производстве;new;2,05
80256;"Ошибка заполнения реквизита ""№ спецификации"" в карточке св-в Поставка ";CHIG;Нормативные затраты;new;4,8
80128;Неправильное вычисление OrderNum при переносе активности;CHIG;FOP/FOS;support;2,7
80127;Ошибка выгрузки ед. изм. атрибутов вкладки времени при выгрузке в 1С;CHIG;Разное;support;2,15
80012;[int] Ошибка Oracle ORA-00932 при открытии списка МЛ;CHIG;Учет в производстве;new;0,3
79879;Ошибка формирования xml для выгрузки в 1С для данных о разряде исполнителя ТП;CHIG;Разное;not available;2
79811;Ошибка при выборе участков в справочнике повышающих коэффициентов;CHIG;Учет в производстве;new;4
80762;Дублируется зависимость ТП от экземпляра в редакторе ТП;DMY;Техпроцессы;regressive;1,3
80760;Ошибки отображения данных в ВТМ документ;DMY;Маршруты;regressive;3,9
80731;Отсутствует состояние в прогрессбаре при формировании отчета по ТП от сохраненного состава заказа;DMY;Техпроцессы;old;7,2
80729;Падение приложения при формировании отчета Техпроцессы оснастки вызываемого от сохраненного заказа в производство;DMY;Техпроцессы;old;2
80725;Ошибка при переводе с COM - OmTPPUI.dll;DMY;ТПП;new;1,25
80679;"Некорректное формирование иерархического представления ВТМ для ДСЕ, входящих в узел с признаком ""Не учитывать в составе""";DMY;Маршруты;old;2,7
80678; Ошибка копирования исполнителя перехода, при добавлении перехода из справочника в ТП;DMY;Техпроцессы;old;1,9
80677;В редакторе ТП исчезают пассивные операции блока замен;DMY;Техпроцессы;new;1,4
80637;[int] Падение при копировании оснастки между операциями;DMY;Техпроцессы;old;1,9
80627;[int] При копировании КЭ не происходит копирование вспомогательных норм;DMY;Мат. нормативы;support;1,1
80589;Ошибка перенумерации при добавлении операции в середину ТП;DMY;Техпроцессы;old;3,15
80570;[code64] Ошибка верификации 086 ТП ;DMY;Техпроцессы;old;5,55
80566;[int] COmpTechprocToKobjManagerImpl (WARN): загружать все связки запрещено!;DMY;Техпроцессы;old;4
80563;Ошибка кодировки при выводе данных об операции в протоколе замены оснастки ТП;DMY;Техпроцессы;old;2
80558;Падение при переключении активности ТП;DMY;Техпроцессы;regressive;1,75
