#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
77896;При открытии производственного графика появляется ошибка Can't create object (BObjManager). Ошибка: S_FALSE;KAD;Планирование заводское;new;3,5
77894;[int] Ошибка сортировки данных об оснастке в редакторе ТП;DMY;Техпроцессы;old;1,25
77876;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при создании КЭ;PMG_ADP_BIV_KYD_MPS;Констр. объекты;not available;0,3
77874;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при создании ТМЦ;AVS_SAV_CHIG_SSB_REI_ASA;Складской учет;not available;0,3
77866;Не импортируется значение атрибута-множественной ссылки через универсальный xml импорт;ADP;Объекты системы;old;16,2
77857;Ошибка работы списания состава;REI;Учет в производстве;new;2
77845;При создании нормы через КР вновь создаваемая норма создалась с другим значением;ADP;Мат. нормативы;zakazchik;6
77843;[int] Падение Омеги при импорте ТП через универсальный XML импорт;DMY;Техпроцессы;old;4,1
77841;[int] Ошибка ORA-02290 при копировании маршрута на КЭ;DMY;Маршруты;old;2,5
77833;Ошибка добавления в содержимое заказа производства КСК  через к.к.м Построчное добавление КСК;ADP;Констр. объекты;not available;2
77826;Табличный редактор: редактирование Ед.Измерения./ переменные провайдера печати 502;DMY;Техпроцессы;new;2,5
77816;Отсутствуют команды контекстного меню при групповой выборке исполнителей в редакторе ТП;DMY;Техпроцессы;regressive;1,25
77798;Не присваивается владелец при создании нового ОКТП;MNS;FOP/FOS;new;1
77797;"При выставленной настройке ""Игнорировать номенклатуру с нулевым остатком"", в отчет не попадает номенклатура с остатком из архивных карточек";REI;Складской учет;new;4,5
77788;Удаление КСК из системы при удалении данного КСК из плана производства ;ADP;Планирование заводское;old;6
77742;[int] При добавлении КЭ копированием не копируются маршруты;DMY;Маршруты;old;1
77739;"Отчет по Расходу  ""Дооценка""";AVS;Складской учет;zakazchik;4
77738;При расчете нормативных затрат не подбирается маршрут элемента  ВЗК ;SPS;Маршруты;new;9,5
77723;Ошибка проверки прав при создании новой ревизии ОКТП пользователем, который не является владельцем родительской ревизии;MNS;FOP/FOS;new;2,3
77704;[int] Невозможно удалить только что созданного исполнителя с перехода;DMY;Техпроцессы;new;1,75
77696;Провайдер 502: ошибка расчета переменной Стоимость отклонение;DMY;Техпроцессы;new;3,1
77684;[int] Проблема отображения ОЭ в КСО А/П;SGR Group;FOP/FOS;new;1
77681;Ошибка заполнения симуляционной панели производства по автомобилям;MNS;FOP/FOS;new;3
77680;[int] Ошибка импорта ТП. Не осуществляется поиск ед изм оснастки по краткому наименованию;DMY;Техпроцессы;old;5,8
77673;"[int] Ошибка при просмотре карточки пользователя ""OMP Администратор""";ZRV;Базовые справочники;postgre;2,5
77671;Ошибка импорта через API . Не корректная кодировка ;AVS;Складской учет;zakazchik;5,5
77669;Импорт КР из CSV ч.5;ADP;Констр. объекты;not available;1
77657;"Ошибка при переходе со вкладки ""Материалы"" в карточке свойств детали";KYD;Констр. объекты;not available;0,3
77652;[int] Ошибка добавления исполнителя с оплатным временем на переход ТП;DMY;Техпроцессы;new;1,4
77648;Не отображается производственная программа после выбора заказа;SSB;Снабжение;code64;3,2
77639;Некорректная работа фильтра заказчиков в Контрактах;ASA;Заказы;old;17,5
77615;"[int] Команда ""Показать в списке"" для спецификаций";ADP;Констр. объекты;modification;3,6
77610;Ошибка обновления потребности в разрезе МЛ при корректировки количества состава КВ через присоединенную форму ;ASA;Складской учет;modification;6,8
77604;Настройка подписей БО. При вызове разных ПФ тянется один и тот же штамп;ADP;Техпроцессы;old;6,4
77599;Ошибка ORA-01854 при выгрузке XML производственного календаря;ADP;Базовые справочники;refactoring;2,5
77597;Ошибка импорта базовых маршрутов;DMY;Маршруты;support;0,5
77592;Отображается не верное значение в ПФ;ASA;Договоры;old;4,5
77586;"[int] Пропадает исполнитель после обновления (F5) на операции группового ТП на закладке ""По операции на деталь""";DMY;Техпроцессы;regressive;2,5
77581;[int] Ошибка работы НС514 Маршруты: Удалять(аннулировать) маршрут по входимости при удалении строки спецификации;DMY;Маршруты;support;2
77580;Ошибки при импорте Типов подразделений;ADP;Базовые справочники;old;5,5
77577;[int] Доработка справочника Извещения об изменении\ Справочники\ Причины изменений;ZRV;Констр. объекты;new;3,9
77569;[int] Некорректное отображение сообщения о невозможности удаления Сохранения плана в Списке планов;KRA;Планирование заводское;old;2,6
77556;Перестала отображаться строка заменителя в Детализации состава ЛК (реализован доработкой #65625), в отпуске заменитель так же не доступен.;ASA;Складской учет;modification;12
77548;[int] PostgreSQL: в сводной потребности в материала не учитываются нормы ТП;DMY;Мат. нормативы;support;1,75
77546;"Ошибка определения последней синхронизации при выполнении ""Выгрузки в различные системы """;REI;Учет в производстве;new;3,3
77524;Ошибка автоматического перевода по статусам ;PMG;Бизнес-объекты;old;5
77522;Ошибка наименования Настроек к справочникам Трудоемкости;KRA;Нормативные затраты;new;0,9
77517;"Ошибка ORA-00936 при открытии отчета ""Представление изделий""";ADP;Базовые справочники;modification;2
77512;[int] При перемещении активностей на машине остаются элементы ОМ и ОР;GIY;FOP/FOS;new;9
77500;[int] Ошибка Oracle ORA-01400 в случае импорта детали без обозначения;ADP;Констр. объекты;old;3,3
77493;"[int] Ошибка ""MFC exception: Недопустимый аргумент."" при удалении КЭ ";ADP;Классификаторы;old;7
77466;"Не корректно работает настраиваемое свойство ""Не выгружать ВЗН УП с одинаковыми отправителем и получателем ""БО действия ""Выгрузка XML в различные системы ""для БО действия  ВЗН УП";ASA;Учет в производстве;new;3,7
77459;При импорте предприятий создаются дубли ;BIV;Базовые справочники;old;4,5
77453;"Падение при пролистывании списка ""Выборка по всем изделиям""";BIV;Констр. объекты;support;4,6
77452;"Блокируется перевод на статус ""На утверждении"" и создание схемы согласования после двух отказов в согласовании";BEA;FOP/FOS;support;1
77436;[int] исправить ошибки отображения списка операций в гриде;DMY;Техпроцессы;new;1
77427;[int] Исправить наследование данных исполнителей операций ТП при продвижении КЭ + отдельная реализация в Stable-релизе;DMY;Техпроцессы;regressive;1
77426;[int] Исправить наследование данных исполнителей операций ТП при продвижении  КЭ;DMY;Техпроцессы;regressive;2,2
77414;"Ошибка расчета значения обеспеченности КВ в колонке ""Обеспеченность по КВ "" в списке МЛ";REI;Учет в производстве;regressive;2
77413;[int] Ошибка ORA-04091 при откате продвижения требования с составом;SAV;Складской учет;postgre;16,5
77411;"[int] Отсутствуют выходные параметры указанные в ""Include"" в апи методе по загрузке вариантов customers/autovaz/balancingSoc/balancingSocPostVariants";MNS;FOP/FOS;new;2,4
77387;[int] Ошибка удаления ТП;DMY;Техпроцессы;regressive;3,5
77382;[int] Не рассчитывается стоимость исполнителя операции для ТТП и ГТП;DMY;Техпроцессы;regressive;3,1
77381;[int] Сортировка операций по Наименованию в классификаторе операций;DMY;Техпроцессы;old;2,4
77380;Ошибка создания объекта системы исполнителя операции. Неверный контекст. При продвижении КЭ;DMY;Техпроцессы;old;8,4
77378;[int] Ошибки сохранения заданного фильтра ПП;MNE;Планирование заводское;new;6,3
77374;[int] Настройка видимости задач польователя;ADP;Базовые справочники;refactoring;5,9
77367;[int]Падение при открытии карточку свойств Пользователя;ADP;Базовые справочники;old;1,9
77365;Падение при создании ревизии кэ ;DMY;Мат. нормативы;old;3,9
77359;[int] PostgreSQL: Ошибка PostgreSQL [42P01] - при удалении оснастки с перехода ТП;MNS;Техпроцессы;postgre;2,15
77340;Ошибка импорта документов ПО и ВЗН по АПИ использую функцию /imports/universalXmlImport.doImportEx и автоматического продвижения по статусам;SAV;Складской учет;support;24,2
77338;"Некорректное сообщение в протоколе при формировании отчета по НРОМ ""Нормы по цехам""";MNS;Мат. нормативы;new;3,7
77335;Ошибка сброса настроек фильтра Ведомости маршрутов;DMY;Маршруты;old;1,1
77324;"Снятие ограничения (количество знаком после запятой) для значений строки ""Норма расхода, кВ*т*ч"" в карточке Свойств ""Нормы расхода"" для всех типов ТЭР отчета ""Нормы расхода ТЭР """;KRA;Нормативные затраты;modification;1,25
77306;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении цены;MNE;Цены;postgre;3,15
77285;Ошибка oracle ORA-00933 при открытии ФСК;BIV;Констр. объекты;new;4,9
77278;"Ошибка запуска серверной задачи ""Удаление запросов пользователей с истёкшим сроком""";MNS;FOP/FOS;postgre;2,1
77276;Не удается удалить МО с активностью 0 из базы;DMY;Маршруты;old;5
77258;Не подтягивается значение количества в XML ЗНР;ASA;Снабжение;old;5,4
77246;Генерация отчетов;ASA;Складской учет;new;6,4
77242;[int] Ошибка консервации: существует запланированное движение;MSV;Оборудование;new;6,6
77241;Открытию выборки изделий предшествует появление сторонних диалогов;ADP;Констр. объекты;not available;2,3
77234;[int]Падение омеги;REI;Учет в производстве;old;8,5
77231;При присвоении ОКТП на техзавод происходит смена владельца ОКТП;MNS;FOP/FOS;new;7
77225;[int] Ошибка  Oracle ORA-01407 при добавлении тех. характеристики без обозначения;MSV;Оборудование;old;1,1
77216;[int] Производственный календарь подразделения. Не отображаются выходные и рабочие дни в гриде;KAD;Планирование заводское;old;1
77198;[int] Ошибки по работе с КЭ на PG базе;PMG;Констр. объекты;new;2
77195;"Отчеты от ПЗ. Ошибки при учете операций МЛ ""удаленных"" через ревизию МЛ";CHIG;Планирование цеховое;new;3,5
77189;Ошибки импорта ТП из TechCard;GIY;Техпроцессы;new;8,25
77188;Ошибки импорта ТП из TechCard;GIY;Техпроцессы;new;8,25
77187;Ошибки импорта ТП из TechCard;GIY;Техпроцессы;new;8,25
77170;Номерные прейскуранты (НП). Некорректная работа в настройках Типов цен и наследовании информации далее в функцию сохранения в Ценнике;KRA;Нормативные затраты;new;1,6
77161;Падение при удалении несколько материалов в редакторе тп;DMY;Техпроцессы;old;8,2
77158;[int] Некорректное отображение данных в присоединенной форме при открытии отчетов;MPS;Бизнес-объекты;refactoring;7,5
77150;Списки объектов. Зависание Омеги при добавлении дубля в список;MPS;Разное;old;24,1
77148;Ошибка отображения оборудования на операции и падение омеги при закрытии вкладки ТП.;DMY;Техпроцессы;old;1,65
77133;Настройка обязательности элементов в карточке свойств;KYD;Бизнес-объекты;old;7,5
77132;Некорректно наследуются нормы расхода вспомогательного материала при создании ревизии кэ;DMY;Мат. нормативы;not available;8,25
77130;Режим отображения строк в ведомостях допустимых замен Д28ГР;BIV;Разное;old;8
77125;Ошибка при открытии печатных форм;CHIG;Templates Editor;postgre;1
77121;Некорректная работа фильтра заказчиков в Контрактах;ASA;Заказы;postanovka;6
77103;[int] необходимо сравнить патчи luch_2025.03.15.patch04.rar и luch_2025.03.15.patch05.rar;PMG;Потоки работ;old;3,6
77102;Выполнение серверных заданий по времени, которое не было задано в расписании;AVS;FOP/FOS;new;54
77101;Ошибка расчета количества на план и дефицит на заданный номер комплекта в задаче Отчет по лимитам;CHIG;Учет в производстве;old;6
77081;[int] Ошибка размещения номенклатуры по местам хранения.;REI;Складской учет;support;8,5
77078;Отсутствуют данные по загрузке работника при запуске одного и того же апи с разными входными параметрами;BEA;FOP/FOS;new;6
77074;Падение при просмотре пф;SSB;Templates Editor;not available;5
77072;Некорректное формирование вариантов;MNS;FOP/FOS;postanovka;13
77068;[CODE64] Ошибка создания исполнителя в групповом ТП в Stable релизе;DMY;Техпроцессы;old;2,6
77063;падение при работе с редактором колонок;CHIG;Учет в производстве;support;0,5
77062;Ошибка заполнения симуляционной панели производства по автомобилям;MNS;FOP/FOS;new;7,5
77048;"Нормативные затраты (НЗ). Отчет ""Стоимость материальных затрат с ТЗР"". Некорректно отображаются итоги";KRA;Нормативные затраты;modification;5,5
77034;[int] Не запускается трансфер в другую бригаду;MNS;FOP/FOS;new;2,5
77025;неинформативная ошибка ;GIY;FOP/FOS;new;0,3
77024;"Список калькуляций. Пустые столбцы ""Правило"" и ""Условия реализации""";KRA;Нормативные затраты;old;1,1
77022;При добавлении операции из классификатора с комментарием возникает ошибка: нарушено условие уникальности;DMY;Техпроцессы;old;4
77021;Ошибка сохранения выбора партии в составе элемента ВЗН;CHIG;Учет в производстве;old;3,5
77020;Устранить ошибки после установки autovaz_2025.03.05.patch11;PMG;FOP/FOS;postgre;2
77009;Невозможно определить ТМЦ;ASA;Складской учет;zakazchik;4,8
77003;"Ошибка запроса КСО А/П при продвижении БО КСО Загрузка из статуса ""Черновик"" в статус ""На утверждении""";GIY;FOP/FOS;new;1,4
76983;[int] PostgreSQL: некорректное формирование номера нормы расхода шихтового материала;MNS;Металлург. пр-во;postgre;4,8
76976;Некорректно работает верификация на наличие у исполнителя связи с оборудованием [336];DMY;Техпроцессы;old;1
76960;В КР отсохла кнопка выбора/создания заменяющей нормы;PMG;Мат. нормативы;old;7,3
76959;[int] Ошибка установки связи ТП с маршрутом обработки;MNS;Техпроцессы;new;2,75
76958;"Не отображается обозначение ревизии КЭ на закладке ""Комплектовочная карта"" ";DMY_GIY_BEA_MNS_MSV;Техпроцессы;old;2,45
76956;[int] PostgreSQL: Ошибка PostgreSQL [42601] - при расчете изделий из данного материала с учетом применяемости и вспомогательных норм;DMY;Мат. нормативы;postgre;1,35
76955;"Ошибка формирования отчета ""Материалы>>Потребность во вспомогательных материалах...""";DMY;Мат. нормативы;old;9,7
